Unidad,2019,2018,2017,2016,2015
3120107003 Pamplona/Iruña sección 07003,.,.,.,10214,10327
3120107004 Pamplona/Iruña sección 07004,.,.,.,10057,10243
3120107005 Pamplona/Iruña sección 07005,13330,13021,12628,12862,12845
3120107006 Pamplona/Iruña sección 07006,12419,11749,11335,11364,11634
3120107007 Pamplona/Iruña sección 07007,11516,11006,10552,10379,10544
3120107008 Pamplona/Iruña sección 07008,.,.,.,11072,11497
3120107009 Pamplona/Iruña sección 07009,11504,11060,10971,10790,11344
3120107010 Pamplona/Iruña sección 07010,10009,9579,9311,9304,9764
3120107011 Pamplona/Iruña sección 07011,10959,10587,10149,10250,10850
3120107012 Pamplona/Iruña sección 07012,.,.,.,11059,11171
3120107013 Pamplona/Iruña sección 07013,.,.,.,11151,11312
3120107014 Pamplona/Iruña sección 07014,.,.,.,10219,10452
3120107015 Pamplona/Iruña sección 07015,.,.,.,11182,11379
3120107016 Pamplona/Iruña sección 07016,.,.,.,10860,10819
3120107017 Pamplona/Iruña sección 07017,.,.,.,11995,12514
3120107018 Pamplona/Iruña sección 07018,.,.,.,11578,11667
3120107019 Pamplona/Iruña sección 07019,.,.,.,11421,11450
3120107020 Pamplona/Iruña sección 07020,12224,12124,12017,12476,12538
3120107021 Pamplona/Iruña sección 07021,.,.,.,11125,10818
3120107022 Pamplona/Iruña sección 07022,.,.,.,11733,11962
3120107023 Pamplona/Iruña sección 07023,10771,10386,10207,10019,10410
3120108 Pamplona/Iruña distrito 08,13898,13164,12556,12281,12171
3120108001 Pamplona/Iruña sección 08001,.,.,.,11382,12001
3120108002 Pamplona/Iruña sección 08002,14290,13698,12939,12328,12221
3120108003 Pamplona/Iruña sección 08003,13990,13250,12581,12209,12017
3120108004 Pamplona/Iruña sección 08004,.,.,.,12399,11967
3120108005 Pamplona/Iruña sección 08005,.,.,.,14362,13624
3120108006 Pamplona/Iruña sección 08006,.,.,.,11350,11530
09251 Pancorbo,12879,12717,11796,11769,11284
0925101 Pancorbo distrito 01,12879,12717,11796,11769,11284
0925101001 Pancorbo sección 01001,12879,12717,11796,11769,11284
44177 Pancrudo,12720,12498,11214,9588,9927
4417701 Pancrudo distrito 01,12720,12498,11214,9588,9927
4417701001 Pancrudo sección 01001,12720,12498,11214,9588,9927
50200 Paniza,11393,10832,10334,10704,9810
5020001 Paniza distrito 01,11393,10832,10334,10704,9810
5020001001 Paniza sección 01001,11393,10832,10334,10704,9810
22170 Panticosa,14761,14458,14286,13394,13056
2217001 Panticosa distrito 01,14761,14458,14286,13394,13056
2217001001 Panticosa sección 01001,14761,14458,14286,13394,13056
45128 Pantoja,9183,8731,8318,8088,7720
4512801 Pantoja distrito 01,9183,8731,8318,8088,7720
4512801001 Pantoja sección 01001,9349,8901,8439,8088,7934
4512801002 Pantoja sección 01002,9073,8613,8230,8088,7573
27041 Pantón,10829,10179,9889,9696,9757
2704101 Pantón distrito 01,10829,10179,9889,9696,9757
2704101001 Pantón sección 01001,11120,10471,10214,10094,10138
2704101002 Pantón sección 01002,10319,9673,9319,9016,9124
05179 Papatrigo,11004,10338,9509,9390,8828
0517901 Papatrigo distrito 01,11004,10338,9509,9390,8828
0517901001 Papatrigo sección 01001,11004,10338,9509,9390,8828
"08158 Papiol, El",14919,14662,13524,12826,12592
"0815801 Papiol, El distrito 01",14919,14662,13524,12826,12592
"0815801001 Papiol, El sección 01001",15791,15753,14273,13648,13552
"0815801002 Papiol, El sección 01002",13877,13355,12602,11811,11397
16150 Paracuellos,.,.,7985,8032,.
1615001 Paracuellos distrito 01,.,.,7985,8032,.
1615001001 Paracuellos sección 01001,.,.,7985,8032,.
28104 Paracuellos de Jarama,17295,16587,15861,15491,15260
2810401 Paracuellos de Jarama distrito 01,17295,16587,15861,15491,15260
2810401001 Paracuellos de Jarama sección 01001,16463,15794,14621,14310,13753
2810401002 Paracuellos de Jarama sección 01002,10955,10318,9917,10439,10198
2810401003 Paracuellos de Jarama sección 01003,16374,15945,15320,14767,14505
2810401004 Paracuellos de Jarama sección 01004,27325,26377,24517,23138,21066
2810401005 Paracuellos de Jarama sección 01005,21784,21208,19930,17762,18008
2810401006 Paracuellos de Jarama sección 01006,16923,16349,15762,15570,15275
2810401007 Paracuellos de Jarama sección 01007,18769,17544,17309,16739,16487
2810401008 Paracuellos de Jarama sección 01008,17050,16402,15950,15974,16147
2810401009 Paracuellos de Jarama sección 01009,17145,16414,16614,.,.
2810401010 Paracuellos de Jarama sección 01010,13692,13152,12357,.,.
2810401011 Paracuellos de Jarama sección 01011,18685,17784,16384,.,.
50201 Paracuellos de Jiloca,12164,10919,10189,10088,10273
5020101 Paracuellos de Jiloca distrito 01,12164,10919,10189,10088,10273
5020101001 Paracuellos de Jiloca sección 01001,12164,10919,10189,10088,10273
50202 Paracuellos de la Ribera,10216,9565,8714,8952,9210
5020201 Paracuellos de la Ribera distrito 01,10216,9565,8714,8952,9210
5020201001 Paracuellos de la Ribera sección 01001,10216,9565,8714,8952,9210
37230 Parada de Arriba,11273,10973,10323,9652,8797
3723001 Parada de Arriba distrito 01,11273,10973,10323,9652,8797
3723001001 Parada de Arriba sección 01001,11273,10973,10323,9652,8797
37231 Parada de Rubiales,11526,11411,10599,10799,9985
3723101 Parada de Rubiales distrito 01,11526,11411,10599,10799,9985
3723101001 Parada de Rubiales sección 01001,11526,11411,10599,10799,9985
32057 Parada de Sil,13075,13094,12175,12071,12392
3205701 Parada de Sil distrito 01,13075,13094,12175,12071,12392
3205701001 Parada de Sil sección 01001,13075,13094,12175,12071,12392
41071 Paradas,8587,8067,7559,7243,7105
4107101 Paradas distrito 01,8816,8226,7674,7431,7271
4107101001 Paradas sección 01001,9104,8402,7773,7540,7347
4107101002 Paradas sección 01002,8361,7942,7520,7266,7156
4107102 Paradas distrito 02,7609,7110,6653,6354,6195
4107102001 Paradas sección 02001,7455,6917,6488,6255,6020
4107102002 Paradas sección 02002,7874,7435,6931,6521,6497
4107103 Paradas distrito 03,10054,9566,8992,8558,8468
4107103001 Paradas sección 03001,9518,9198,8643,8242,8153
4107103002 Paradas sección 03002,10913,10163,9570,9079,8992
27042 Paradela,10670,10061,9282,9042,8582
2704201 Paradela distrito 01,10670,10061,9282,9042,8582
2704201001 Paradela sección 01001,11347,10905,9909,9652,9180
2704201002 Paradela sección 01002,9983,9226,8666,8433,7983
37232 Paradinas de San Juan,11045,10827,10183,9650,8995
3723201 Paradinas de San Juan distrito 01,11045,10827,10183,9650,8995
3723201001 Paradinas de San Juan sección 01001,11045,10827,10183,9650,8995
34122 Páramo de Boedo,.,.,9802,.,.
3412201 Páramo de Boedo distrito 01,.,.,9802,.,.
3412201001 Páramo de Boedo sección 01001,.,.,9802,.,.
24110 Páramo del Sil,13735,13088,12568,11982,11998
2411001 Páramo del Sil distrito 01,13735,13088,12568,11982,11998
2411001001 Páramo del Sil sección 01001,13735,13088,12568,11982,11998
"27043 Páramo, O",10191,9684,9345,8960,8762
"2704301 Páramo, O distrito 01",10490,9943,9655,9263,9126
"2704301001 Páramo, O sección 01001",10490,9943,9655,9263,9126
"2704302 Páramo, O distrito 02",9820,9372,8968,8590,8318
"2704302001 Páramo, O sección 02001",9820,9372,8968,8590,8318
29077 Parauta,10759,10411,9974,9565,8907
2907701 Parauta distrito 01,10759,10411,9974,9565,8907
2907701001 Parauta sección 01001,10759,10411,9974,9565,8907
03100 Parcent,9488,9426,9009,7869,7998
0310001 Parcent distrito 01,9488,9426,9009,7869,7998
0310001001 Parcent sección 01001,9488,9426,9009,7869,7998
09253 Pardilla,13730,14872,12579,12347,11708
0925301 Pardilla distrito 01,13730,14872,12579,12347,11708
0925301001 Pardilla sección 01001,13730,14872,12579,12347,11708
17125 Pardines,13405,13396,12423,12090,11228
1712501 Pardines distrito 01,13405,13396,12423,12090,11228
1712501001 Pardines sección 01001,13405,13396,12423,12090,11228
19209 Pardos,.,.,.,.,.
1920901 Pardos distrito 01,.,.,.,.,.
1920901001 Pardos sección 01001,.,.,.,.,.
16151 Paredes,.,.,.,.,.
1615101 Paredes distrito 01,.,.,.,.,.
1615101001 Paredes sección 01001,.,.,.,.,.
45129 Paredes de Escalona,12125,10961,10106,9675,10239
4512901 Paredes de Escalona distrito 01,12125,10961,10106,9675,10239
4512901001 Paredes de Escalona sección 01001,12125,10961,10106,9675,10239
34123 Paredes de Nava,11267,10705,9980,9981,9662
3412301 Paredes de Nava distrito 01,11267,10705,9980,9981,9662
3412301001 Paredes de Nava sección 01001,11408,10803,9935,9974,9732
3412301002 Paredes de Nava sección 01002,11121,10599,10028,9988,9587
19210 Paredes de Sigüenza,.,.,.,.,.
1921001 Paredes de Sigüenza distrito 01,.,.,.,.,.
1921001001 Paredes de Sigüenza sección 01001,.,.,.,.,.
19211 Pareja,13526,12920,11856,11461,11703
1921101 Pareja distrito 01,13526,12920,11856,11461,11703
1921101001 Pareja sección 01001,13526,12920,11856,11461,11703
08159 Parets del Vallès,14412,13782,13231,12680,12410
0815901 Parets del Vallès distrito 01,14287,13591,13037,12538,12221
0815901001 Parets del Vallès sección 01001,14577,13636,13144,12576,11996
0815901002 Parets del Vallès sección 01002,14042,13486,12738,12195,11953
0815901003 Parets del Vallès sección 01003,14650,14011,13581,13027,12866
0815901004 Parets del Vallès sección 01004,13945,13264,12854,12596,12343
0815902 Parets del Vallès distrito 02,14477,13881,13332,12754,12507
0815902001 Parets del Vallès sección 02001,14088,13270,12928,12315,12279
0815902002 Parets del Vallès sección 02002,15272,14516,14392,13934,13658
0815902003 Parets del Vallès sección 02003,13902,13335,12825,12268,11768
0815902004 Parets del Vallès sección 02004,14646,14733,13899,13302,13228
0815902005 Parets del Vallès sección 02005,16274,15230,15041,13496,13460
0815902006 Parets del Vallès sección 02006,14164,13685,13026,12788,12473
0815902007 Parets del Vallès sección 02007,14114,13341,12522,12024,11792
28106 Parla,9717,9389,9004,8611,8522
2810601 Parla distrito 01,9717,9389,9004,8611,8522
2810601001 Parla sección 01001,9811,9475,9129,8673,8442
2810601002 Parla sección 01002,7312,7001,6745,6167,6196
2810601003 Parla sección 01003,8146,7879,7414,6925,6832
2810601004 Parla sección 01004,9933,9420,9035,8676,8446
2810601005 Parla sección 01005,8631,8364,7884,7375,7192
2810601006 Parla sección 01006,8925,8679,8451,7944,7868
2810601007 Parla sección 01007,7400,7154,7016,6807,6728
2810601008 Parla sección 01008,8185,7862,7658,7104,7189
2810601009 Parla sección 01009,7876,7511,7192,6874,6869
2810601010 Parla sección 01010,8308,8152,8053,7414,7623
2810601011 Parla sección 01011,7521,7120,6810,6402,6428
2810601012 Parla sección 01012,8485,8268,7880,7701,7616
2810601013 Parla sección 01013,7986,7798,7409,6867,6810
2810601014 Parla sección 01014,8225,7835,7136,6929,6919
2810601015 Parla sección 01015,10830,10815,10214,9727,9528
2810601016 Parla sección 01016,9411,9302,8890,8406,8448
2810601017 Parla sección 01017,8398,8028,7796,7455,7330
2810601018 Parla sección 01018,9312,8673,8277,7659,7626
2810601019 Parla sección 01019,7063,7038,6448,5868,5948
2810601021 Parla sección 01021,9229,8891,8340,7793,7697
2810601022 Parla sección 01022,7638,7204,6870,6422,6176
2810601023 Parla sección 01023,8389,7961,7781,7324,7242
2810601024 Parla sección 01024,8763,8586,8005,7352,7383
2810601025 Parla sección 01025,8899,8734,8274,8058,8140
2810601026 Parla sección 01026,8561,8179,7821,7521,7307
2810601027 Parla sección 01027,9350,8428,8064,7801,7704
2810601028 Parla sección 01028,7759,7366,6930,6552,6644
2810601029 Parla sección 01029,9103,8750,8238,7635,7671
2810601030 Parla sección 01030,9220,8800,8259,7697,7197
2810601031 Parla sección 01031,8424,7852,7578,7089,7040
2810601032 Parla sección 01032,8487,8072,7904,7698,7682
2810601033 Parla sección 01033,7205,6814,6576,6244,6245
2810601034 Parla sección 01034,8881,8620,8173,7697,7692
2810601035 Parla sección 01035,8181,7756,7432,7204,6981
2810601036 Parla sección 01036,9983,9538,9085,8592,8378
2810601037 Parla sección 01037,9172,9061,8772,8429,7982
2810601038 Parla sección 01038,9502,9074,8747,8309,7897
2810601039 Parla sección 01039,9760,9209,8799,8416,8251
2810601040 Parla sección 01040,9517,9001,8851,8169,8080
2810601041 Parla sección 01041,12015,11484,10826,10325,10577
2810601042 Parla sección 01042,11415,10893,10542,10242,9944
2810601043 Parla sección 01043,12679,12150,11616,11189,11219
2810601044 Parla sección 01044,10789,10360,10126,9615,9372
2810601045 Parla sección 01045,9877,9103,8935,8769,8715
2810601046 Parla sección 01046,9854,9555,9350,8723,8668
2810601047 Parla sección 01047,9476,9106,8837,8401,8061
2810601048 Parla sección 01048,12789,12186,11477,11005,10633
2810601049 Parla sección 01049,10604,10569,9952,9424,9412
2810601050 Parla sección 01050,11059,10868,10761,10536,10606
2810601051 Parla sección 01051,13059,13113,12858,12483,12052
2810601052 Parla sección 01052,10724,10430,10194,9939,9800
2810601053 Parla sección 01053,13042,13031,12197,11772,9951
2810601054 Parla sección 01054,11208,10929,10859,10728,10796
2810601055 Parla sección 01055,11616,11493,11145,10712,10447
2810601056 Parla sección 01056,11151,10532,10145,10135,10564
2810601057 Parla sección 01057,11836,11421,11166,10672,10631
2810601058 Parla sección 01058,8529,8231,7672,9174,9095
2810601059 Parla sección 01059,9188,8864,8572,8631,8535
2810601060 Parla sección 01060,10433,10393,9836,9356,9288
2810601061 Parla sección 01061,11626,11110,10877,11072,11214
2810601062 Parla sección 01062,10999,10533,10223,10053,10067
2810601063 Parla sección 01063,12195,11939,11581,11446,11577
2810601064 Parla sección 01064,9077,8762,8631,8313,.
2810601065 Parla sección 01065,12531,12190,11593,11075,.
2810601066 Parla sección 01066,11330,11193,10779,.,.
2810601067 Parla sección 01067,12426,12507,11834,.,.
17126 Parlavà,15239,14432,13796,13376,12823
1712601 Parlavà distrito 01,15239,14432,13796,13376,12823
1712601001 Parlavà sección 01001,15239,14432,13796,13376,12823
"16152 Parra de las Vegas, La",.,.,.,.,.
"1615201 Parra de las Vegas, La distrito 01",.,.,.,.,.
"1615201001 Parra de las Vegas, La sección 01001",.,.,.,.,.
"06099 Parra, La",7391,7051,6570,5976,5879
"0609901 Parra, La distrito 01",7391,7051,6570,5976,5879
"0609901001 Parra, La sección 01001",7391,7051,6570,5976,5879
"05180 Parral, El",.,.,.,.,.
"0518001 Parral, El distrito 01",.,.,.,.,.
"0518001001 Parral, El sección 01001",.,.,.,.,.
"44178 Parras de Castellote, Las",.,.,.,.,.
"4417801 Parras de Castellote, Las distrito 01",.,.,.,.,.
"4417801001 Parras de Castellote, Las sección 01001",.,.,.,.,.
33045 Parres,11238,10694,10246,9880,9538
3304501 Parres distrito 01,11238,10694,10246,9880,9538
3304501001 Parres sección 01001,10304,9850,9360,9000,8540
3304501002 Parres sección 01002,12567,11788,11646,11185,10756
3304501003 Parres sección 01003,10962,10609,9765,9378,9315
3304501005 Parres sección 01005,10840,10426,9812,9719,9187
3304501006 Parres sección 01006,10670,10241,9735,9337,9343
"47110 Parrilla, La",11627,11050,10361,10502,9564
"4711001 Parrilla, La distrito 01",11627,11050,10361,10502,9564
"4711001001 Parrilla, La sección 01001",11627,11050,10361,10502,9564
45130 Parrillas,10008,9618,9176,9029,8522
4513001 Parrillas distrito 01,10008,9618,9176,9029,8522
4513001001 Parrillas sección 01001,10008,9618,9176,9029,8522
04072 Partaloa,7094,6693,6419,5438,6407
0407201 Partaloa distrito 01,7094,6693,6419,5438,6407
0407201001 Partaloa sección 01001,7094,6693,6419,5438,6407
09255 Partido de la Sierra en Tobalina,.,.,.,.,.
0925501 Partido de la Sierra en Tobalina distrito 01,.,.,.,.,.
0925501001 Partido de la Sierra en Tobalina sección 01001,.,.,.,.,.
20064 Pasaia,13465,12991,12425,12251,.
2006401 Pasaia distrito 01,14424,13956,13004,12993,.
2006401001 Pasaia sección 01001,14522,14310,13414,13672,.
2006401002 Pasaia sección 01002,14364,13742,12760,12590,.
2006402 Pasaia distrito 02,14447,13886,13534,13126,.
2006402001 Pasaia sección 02001,16076,16007,15690,15533,.
2006402002 Pasaia sección 02002,13083,12326,12272,11918,.
2006402003 Pasaia sección 02003,12297,11959,11632,10788,.
2006402009 Pasaia sección 02009,16164,15089,14383,14146,.
2006403 Pasaia distrito 03,13656,13182,12550,12487,.
2006403001 Pasaia sección 03001,12974,12247,11877,11782,.
2006403002 Pasaia sección 03002,14394,14321,13244,13159,.
2006403003 Pasaia sección 03003,13608,12990,12547,12527,.
2006404 Pasaia distrito 04,12418,11975,11513,11308,.
2006404001 Pasaia sección 04001,12922,12384,12098,11641,.
2006404002 Pasaia sección 04002,12743,12327,12096,11563,.
2006404003 Pasaia sección 04003,11838,11589,11168,11281,.
2006404004 Pasaia sección 04004,12539,11954,11337,11269,.
2006404005 Pasaia sección 04005,11815,11492,10818,10778,.
10138 Pasarón de la Vera,9215,8755,8548,8295,8260
1013801 Pasarón de la Vera distrito 01,9215,8755,8548,8295,8260
1013801001 Pasarón de la Vera sección 01001,9215,8755,8548,8295,8260
05181 Pascualcobo,.,.,.,.,.
0518101 Pascualcobo distrito 01,.,.,.,.,.
0518101001 Pascualcobo sección 01001,.,.,.,.,.
"38027 Paso, El",10010,9407,9032,8389,7879
"3802701 Paso, El distrito 01",9412,8831,8215,7622,7379
"3802701001 Paso, El sección 01001",9412,8831,8215,7622,7379
"3802702 Paso, El distrito 02",10077,9422,8866,8529,8088
"3802702001 Paso, El sección 02001",10077,9422,8866,8529,8088
"3802703 Paso, El distrito 03",10417,9843,9353,9005,8293
"3802703001 Paso, El sección 03001",10484,9837,9517,8920,8369
"3802703002 Paso, El sección 03002",10345,9848,9180,9098,8211
"3802704 Paso, El distrito 04",9763,9170,9578,7805,7268
"3802704001 Paso, El sección 04001",9763,9170,9578,7805,7268
43101 Passanant i Belltall,16813,15944,16065,15892,15758
4310101 Passanant i Belltall distrito 01,16813,15944,16065,15892,15758
4310101001 Passanant i Belltall sección 01001,16813,15944,16065,15892,15758
37233 Pastores,.,.,.,.,.
3723301 Pastores distrito 01,.,.,.,.,.
3723301001 Pastores sección 01001,.,.,.,.,.
"27044 Pastoriza, A",10793,10104,9567,8960,8704
"2704401 Pastoriza, A distrito 01",10793,10104,9567,8960,8704
"2704401001 Pastoriza, A sección 01001",11439,10705,10129,9438,9340
"2704401002 Pastoriza, A sección 01002",10318,9823,9204,8419,8118
"2704401003 Pastoriza, A sección 01003",10407,9597,9190,8898,8500
19212 Pastrana,11160,10805,10197,9706,10279
1921201 Pastrana distrito 01,11160,10805,10197,9706,10279
1921201001 Pastrana sección 01001,11160,10805,10197,9706,10279
50203 Pastriz,13434,12706,12267,11678,11413
5020301 Pastriz distrito 01,13434,12706,12267,11678,11413
5020301001 Pastriz sección 01001,13434,12706,12267,11678,11413
46190 Paterna,12188,11683,11135,10803,10487
4619001 Paterna distrito 01,12188,11683,11135,10803,10487
4619001001 Paterna sección 01001,11011,10464,10107,9486,9182
4619001002 Paterna sección 01002,8099,7990,7585,7324,7499
4619001003 Paterna sección 01003,10572,10243,9574,9015,8633
4619001004 Paterna sección 01004,11265,10240,9781,9460,9563
4619001005 Paterna sección 01005,10669,10170,9673,9386,9227
4619001006 Paterna sección 01006,11676,11163,10913,10537,10410
4619001007 Paterna sección 01007,13695,14980,12670,14696,11968
4619001008 Paterna sección 01008,10855,10487,9727,9614,9306
4619001009 Paterna sección 01009,12119,10881,10694,10470,10328
4619001010 Paterna sección 01010,9744,9379,9052,8705,8433
4619001011 Paterna sección 01011,10597,10448,9881,9609,9207
4619001012 Paterna sección 01012,11222,10580,10228,10082,9770
4619001013 Paterna sección 01013,10353,9864,9288,9095,9022
4619001014 Paterna sección 01014,8367,8210,7689,7443,7040
4619001015 Paterna sección 01015,9788,9476,8821,8420,7921
4619001016 Paterna sección 01016,9543,9310,8579,8185,7884
4619001017 Paterna sección 01017,9623,9299,8644,8245,8044
4619001018 Paterna sección 01018,9177,8858,8570,8042,7783
4619001019 Paterna sección 01019,9568,9510,8971,8634,8391
4619001020 Paterna sección 01020,10027,9290,8705,7945,8398
4619001021 Paterna sección 01021,9540,9304,8699,8109,7816
4619001022 Paterna sección 01022,9887,9436,8965,8502,8252
4619001023 Paterna sección 01023,9345,8804,8115,7892,7433
4619001024 Paterna sección 01024,10141,9773,9120,8862,8493
4619001025 Paterna sección 01025,11526,11078,10445,10067,9656
4619001026 Paterna sección 01026,7413,6854,6621,6265,6001
4619001027 Paterna sección 01027,12900,11990,11976,11218,10839
4619001028 Paterna sección 01028,19292,19377,17228,17010,16770
4619001029 Paterna sección 01029,.,.,.,.,.
4619001030 Paterna sección 01030,13166,12500,11821,11426,11127
4619001031 Paterna sección 01031,16256,15753,15544,15686,14768
4619001032 Paterna sección 01032,14579,14152,13757,12324,13524
4619001033 Paterna sección 01033,4447,4083,3732,3394,3322
4619001034 Paterna sección 01034,16064,15148,14709,14615,14439
4619001035 Paterna sección 01035,19468,18613,18111,18286,17313
4619001036 Paterna sección 01036,10321,9837,9507,9217,8879
4619001037 Paterna sección 01037,19391,18790,17278,18415,17731
4619001038 Paterna sección 01038,14730,13557,13186,13023,12655
4619001039 Paterna sección 01039,4353,3741,3431,3268,3281
4619001040 Paterna sección 01040,16098,15738,14789,14362,13849
4619001041 Paterna sección 01041,13636,13812,12961,12454,12202
4619001042 Paterna sección 01042,10903,9800,10274,9780,9642
4619001043 Paterna sección 01043,13689,13100,12709,12358,11893
4619001044 Paterna sección 01044,13066,12568,12210,12295,12644
4619001045 Paterna sección 01045,14890,14211,13371,12766,11663
4619001046 Paterna sección 01046,11912,10808,10692,10651,10129
4619001047 Paterna sección 01047,14176,13645,13357,12898,12549
4619001048 Paterna sección 01048,17910,16065,16472,14943,14856
11025 Paterna de Rivera,7937,7589,6947,6480,6215
1102501 Paterna de Rivera distrito 01,7937,7589,6947,6480,6215
1102501001 Paterna de Rivera sección 01001,8428,8046,7532,7022,6638
1102501002 Paterna de Rivera sección 01002,8002,7681,6979,6663,6592
1102501003 Paterna de Rivera sección 01003,7477,7140,6460,5891,5540
21056 Paterna del Campo,9050,8548,8063,7740,7497
2105601 Paterna del Campo distrito 01,8916,8375,7841,7545,7237
2105601001 Paterna del Campo sección 01001,8852,8368,7539,7187,7026
2105601002 Paterna del Campo sección 01002,9010,8384,8657,8503,7784
2105602 Paterna del Campo distrito 02,9241,8803,8391,8022,7868
2105602001 Paterna del Campo sección 02001,9241,8803,8391,8022,7868
02058 Paterna del Madera,10353,9565,8997,8783,8353
0205801 Paterna del Madera distrito 01,10353,9565,8997,8783,8353
0205801001 Paterna del Madera sección 01001,10353,9565,8997,8783,8353
04073 Paterna del Río,9637,9477,9126,9203,8811
0407301 Paterna del Río distrito 01,9637,9477,9126,9203,8811
0407301001 Paterna del Río sección 01001,9637,9477,9126,9203,8811
28107 Patones,13713,14029,13462,13062,14012
2810701 Patones distrito 01,13713,14029,13462,13062,14012
2810701001 Patones sección 01001,13713,14029,13462,13062,14012
17128 Pau,12876,12038,11373,10698,10676
1712801 Pau distrito 01,12876,12038,11373,10698,10676
1712801001 Pau sección 01001,12876,12038,11373,10698,10676
43102 Paüls,11376,10603,10346,9944,9892
4310201 Paüls distrito 01,11376,10603,10346,9944,9892
4310201001 Paüls sección 01001,11376,10603,10346,9944,9892
12088 Pavías,.,.,.,.,.
1208801 Pavías distrito 01,.,.,.,.,.
1208801001 Pavías sección 01001,.,.,.,.,.
21057 Paymogo,8517,8199,7695,7257,7047
2105701 Paymogo distrito 01,8517,8199,7695,7257,7047
2105701001 Paymogo sección 01001,8517,8199,7695,7257,7047
34124 Payo de Ojeda,.,.,.,.,.
3412401 Payo de Ojeda distrito 01,.,.,.,.,.
3412401001 Payo de Ojeda sección 01001,.,.,.,.,.
"37234 Payo, El",11462,11331,10118,9824,9516
"3723401 Payo, El distrito 01",11462,11331,10118,9824,9516
"3723401001 Payo, El sección 01001",11462,11331,10118,9824,9516
36037 Pazos de Borbén,10418,9997,9208,8981,8709
3603701 Pazos de Borbén distrito 01,10357,9890,9083,8711,8406
3603701001 Pazos de Borbén sección 01001,10357,9890,9083,8711,8406
3603702 Pazos de Borbén distrito 02,10482,10109,9340,9261,9027
3603702001 Pazos de Borbén sección 02001,10482,10109,9340,9261,9027
26113 Pazuengos,.,.,.,.,.
2611301 Pazuengos distrito 01,.,.,.,.,.
2611301001 Pazuengos sección 01001,.,.,.,.,.
23066 Peal de Becerro,9009,8836,8375,8164,7713
2306601 Peal de Becerro distrito 01,8615,8482,8044,7841,7438
2306601001 Peal de Becerro sección 01001,8469,8278,7915,7774,7456
2306601002 Peal de Becerro sección 01002,8751,8671,8165,7903,7421
2306602 Peal de Becerro distrito 02,9797,9583,9037,8724,8212
2306602001 Peal de Becerro sección 02001,9797,9583,9037,8724,8212
2306603 Peal de Becerro distrito 03,8606,8416,8046,7986,7536
2306603001 Peal de Becerro sección 03001,8606,8416,8046,7986,7536
04074 Pechina,8622,8099,7649,7359,7405
0407401 Pechina distrito 01,9424,8747,8435,8266,8178
0407401001 Pechina sección 01001,9424,8747,8435,8266,8178
0407402 Pechina distrito 02,7824,7459,6887,6477,6670
0407402001 Pechina sección 02001,7824,7459,6887,6477,6670
"16153 Pedernoso, El",9419,9042,8719,8112,7825
"1615301 Pedernoso, El distrito 01",9419,9042,8719,8112,7825
"1615301001 Pedernoso, El sección 01001",9419,9042,8719,8112,7825
27045 Pedrafita do Cebreiro,12124,11352,10887,10515,10517
2704501 Pedrafita do Cebreiro distrito 01,12124,11352,10887,10515,10517
2704501001 Pedrafita do Cebreiro sección 01001,12124,11352,10887,10515,10517
"47111 Pedraja de Portillo, La",11643,11009,10244,9835,9927
"4711101 Pedraja de Portillo, La distrito 01",11643,11009,10244,9835,9927
"4711101001 Pedraja de Portillo, La sección 01001",11643,11009,10244,9835,9927
47112 Pedrajas de San Esteban,10581,9849,9336,8489,8280
4711201 Pedrajas de San Esteban distrito 01,10581,9849,9336,8489,8280
4711201001 Pedrajas de San Esteban sección 01001,9928,9321,8853,8093,8018
4711201002 Pedrajas de San Esteban sección 01002,11371,10489,9922,8968,8593
46191 Pedralba,9693,9099,8711,8209,8148
4619101 Pedralba distrito 01,9693,9099,8711,8209,8148
4619101001 Pedralba sección 01001,9693,9099,8711,8209,8148
49145 Pedralba de la Pradería,12869,11590,10768,9066,9675
4914501 Pedralba de la Pradería distrito 01,12869,11590,10768,9066,9675
4914501001 Pedralba de la Pradería sección 01001,12869,11590,10768,9066,9675
40156 Pedraza,14242,13265,12510,11581,11329
4015601 Pedraza distrito 01,14242,13265,12510,11581,11329
4015601001 Pedraza sección 01001,14242,13265,12510,11581,11329
37235 Pedraza de Alba,9045,10432,8677,7992,7683
3723501 Pedraza de Alba distrito 01,9045,10432,8677,7992,7683
3723501001 Pedraza de Alba sección 01001,9045,10432,8677,7992,7683
34125 Pedraza de Campos,.,.,.,.,.
3412501 Pedraza de Campos distrito 01,.,.,.,.,.
3412501001 Pedraza de Campos sección 01001,.,.,.,.,.
"19213 Pedregal, El",.,.,.,.,.
"1921301 Pedregal, El distrito 01",.,.,.,.,.
"1921301001 Pedregal, El sección 01001",.,.,.,.,.
03101 Pedreguer,10189,9917,9362,9008,8701
0310101 Pedreguer distrito 01,10189,9917,9362,9008,8701
0310101001 Pedreguer sección 01001,11644,12643,10803,10211,9176
0310101002 Pedreguer sección 01002,9557,8975,8728,8631,8211
0310101003 Pedreguer sección 01003,9869,9191,8699,8737,8502
0310101004 Pedreguer sección 01004,9813,9653,9375,9172,8625
0310101005 Pedreguer sección 01005,9406,9024,8638,7968,7885
0310101006 Pedreguer sección 01006,10532,10123,9679,9178,9182
41072 Pedrera,8505,7794,7326,7046,6883
4107201 Pedrera distrito 01,8505,7794,7326,7046,6883
