Unidad,2019,2018,2017,2016,2015
37001 Abusejo,11200,10688,9759,9280,9412
3700101 Abusejo distrito 01,11200,10688,9759,9280,9412
3700101001 Abusejo sección 01001,11200,10688,9759,9280,9412
"28001 Acebeda, La",.,.,.,.,.
"2800101 Acebeda, La distrito 01",.,.,.,.,.
"2800101001 Acebeda, La sección 01001",.,.,.,.,.
24001 Acebedo,12304,11881,11407,11214,11232
2400101 Acebedo distrito 01,12304,11881,11407,11214,11232
2400101001 Acebedo sección 01001,12304,11881,11407,11214,11232
10003 Acebo,8975,8022,7779,7473,7421
1000301 Acebo distrito 01,8975,8022,7779,7473,7421
1000301001 Acebo sección 01001,8975,8022,7779,7473,7421
"16002 Acebrón, El",10054,9588,9624,8640,8283
"1600201 Acebrón, El distrito 01",10054,9588,9624,8640,8283
"1600201001 Acebrón, El sección 01001",10054,9588,9624,8640,8283
06001 Acedera,9191,8079,8253,8463,8304
0600101 Acedera distrito 01,9191,8079,8253,8463,8304
0600101001 Acedera sección 01001,9191,8079,8253,8463,8304
10004 Acehúche,8822,8284,7729,7486,7302
1000401 Acehúche distrito 01,8822,8284,7729,7486,7302
1000401001 Acehúche sección 01001,8822,8284,7729,7486,7302
10005 Aceituna,8625,8204,7468,7064,6808
1000501 Aceituna distrito 01,8625,8204,7468,7064,6808
1000501001 Aceituna sección 01001,8625,8204,7468,7064,6808
50002 Acered,10842,9831,9448,8513,9665
5000201 Acered distrito 01,10842,9831,9448,8513,9665
5000201001 Acered sección 01001,10842,9831,9448,8513,9665
06002 Aceuchal,7852,7470,7208,7032,6663
0600201 Aceuchal distrito 01,8003,7663,7313,7098,6715
0600201001 Aceuchal sección 01001,8260,7948,7785,7796,7358
0600201002 Aceuchal sección 01002,8327,7800,7421,7144,6715
0600201003 Aceuchal sección 01003,7523,7280,6777,6401,6102
0600202 Aceuchal distrito 02,7562,7106,7007,6904,6564
0600202001 Aceuchal sección 02001,7562,7106,7007,6904,6564
22003 Adahuesca,13015,12740,11772,12396,11836
2200301 Adahuesca distrito 01,13015,12740,11772,12396,11836
2200301001 Adahuesca sección 01001,13015,12740,11772,12396,11836
47001 Adalia,.,.,.,.,.
4700101 Adalia distrito 01,.,.,.,.,.
4700101001 Adalia sección 01001,.,.,.,.,.
14001 Adamuz,8541,8480,8364,7912,7250
1400101 Adamuz distrito 01,8541,8480,8364,7912,7250
1400101001 Adamuz sección 01001,8308,8346,8129,7669,7088
1400101002 Adamuz sección 01002,9198,9107,8941,8515,7814
1400101003 Adamuz sección 01003,8365,8203,8232,7769,7040
05001 Adanero,12171,11829,11744,10343,10411
0500101 Adanero distrito 01,12171,11829,11744,10343,10411
0500101001 Adanero sección 01001,12171,11829,11744,10343,10411
38001 Adeje,9632,9105,8706,8057,8050
3800101 Adeje distrito 01,9632,9105,8706,8057,8050
3800101001 Adeje sección 01001,9830,9964,9611,9005,8690
3800101002 Adeje sección 01002,8763,8181,7941,7245,7245
3800101003 Adeje sección 01003,10595,9376,8921,8184,8198
3800101004 Adeje sección 01004,8989,8337,8080,7687,7659
3800101005 Adeje sección 01005,9870,9557,8934,8429,8321
3800101006 Adeje sección 01006,9038,8728,8313,7940,7737
3800101007 Adeje sección 01007,9148,7781,7634,6758,6651
3800101008 Adeje sección 01008,8874,8555,7958,7489,7558
3800101009 Adeje sección 01009,11144,10640,10124,9664,9797
3800101010 Adeje sección 01010,11926,11051,10599,10439,10334
3800101011 Adeje sección 01011,8137,7691,7810,6865,6798
3800101012 Adeje sección 01012,10369,10278,8609,8260,7841
3800101013 Adeje sección 01013,10352,10360,9757,8790,10021
3800101014 Adeje sección 01014,9759,9240,8554,8634,8427
3800101015 Adeje sección 01015,9168,8514,8280,7609,7521
3800101016 Adeje sección 01016,9568,9049,8488,7719,7563
3800101017 Adeje sección 01017,8989,8484,8139,7572,7501
3800101018 Adeje sección 01018,10202,9819,9725,8828,8565
46001 Ademuz,10176,9785,8739,8470,8280
4600101 Ademuz distrito 01,10176,9785,8739,8470,8280
4600101001 Ademuz sección 01001,10176,9785,8739,8470,8280
31007 Adiós,.,.,.,14724,14471
3100701 Adiós distrito 01,.,.,.,14724,14471
3100701001 Adiós sección 01001,.,.,.,14724,14471
19003 Adobes,.,.,.,.,.
1900301 Adobes distrito 01,.,.,.,.,.
1900301001 Adobes sección 01001,.,.,.,.,.
46002 Ador,10613,10588,10233,9519,9345
4600201 Ador distrito 01,10613,10588,10233,9519,9345
4600201001 Ador sección 01001,10613,10588,10233,9519,9345
04003 Adra,8192,7845,7529,7112,6820
0400301 Adra distrito 01,8999,8667,8212,7763,7495
0400301001 Adra sección 01001,9668,9155,8965,8590,8267
0400301002 Adra sección 01002,9250,8817,8599,8013,7941
0400301003 Adra sección 01003,8532,8558,8076,7621,7150
0400301004 Adra sección 01004,7810,7585,6990,6521,6477
0400301005 Adra sección 01005,9264,8619,8058,7824,7454
0400301006 Adra sección 01006,10186,9943,9335,8829,8439
0400301007 Adra sección 01007,9773,9030,8778,8160,7832
0400302 Adra distrito 02,7649,7088,6689,6382,6148
0400302001 Adra sección 02001,8264,7743,7363,6866,6616
0400302002 Adra sección 02002,7554,6959,6645,6483,6184
0400302003 Adra sección 02003,7029,6493,5952,5629,5507
0400303 Adra distrito 03,7424,7045,6856,6498,6198
0400303001 Adra sección 03001,7429,7179,7072,6736,6477
0400303002 Adra sección 03002,6738,6240,5929,5460,5157
0400303003 Adra sección 03003,7766,7380,7234,6940,6625
0400304 Adra distrito 04,7637,7932,7891,7301,7025
0400304001 Adra sección 04001,7637,7932,7891,7301,7025
0400305 Adra distrito 05,7321,7031,7007,6555,6181
0400305001 Adra sección 05001,7035,6603,6621,6310,5936
0400305002 Adra sección 05002,7509,7324,7276,6730,6358
09003 Adrada de Haza,12359,11808,11248,10745,10341
0900301 Adrada de Haza distrito 01,12359,11808,11248,10745,10341
