fecha,indicativo,tmin,longitud,latitud
2021-01-07,0324A,-6.1,2.196111,42.191389
2021-01-07,5995B,8.2,-5.965,36.245556
2021-01-07,1473A,-1.1,-8.627222,42.738333
2021-01-07,1024E,0.1,-2.041111,43.306389
2021-01-07,9619,-8.8,1.463056,42.354722
2021-01-07,5427X,4.4,-4.353889,37.556111
2021-01-07,1082,-1.6,-2.906389,43.298056
2021-01-07,B569X,7.9,3.478056,39.716667
2021-01-07,7145D,2.6,-1.380556,38.232778
2021-01-07,5402,5.7,-4.846667,37.848889
2021-01-07,1387E,-2.4,-8.371944,43.306944
2021-01-07,5641X,6.9,-5.085,37.516111
2021-01-07,4148,0,-3.566667,38.518056
2021-01-07,1002Y,-4.7,-1.543056,43.135833
2021-01-07,6058I,9,-5.155,36.416944
2021-01-07,9898,-5,-0.325556,42.084444
2021-01-07,9569A,-1.8,-0.237778,40.946667
2021-01-07,1505,-4.9,-7.4575,43.111389
2021-01-07,2661,-7,-5.651111,42.588333
2021-01-07,7096B,-0.1,-1.703056,38.541944
2021-01-07,5960,6.9,-6.055833,36.750556
2021-01-07,9434P,-3.1,-0.935,41.620833
2021-01-07,8019,6,-0.570833,38.282778
2021-01-07,8500A,4.8,-0.071944,39.957222
2021-01-07,5796,6.9,-5.611389,37.164444
2021-01-07,5047E,0.4,-2.735,37.505833
2021-01-07,5972X,7.8,-6.205556,36.465556
2021-01-07,1475X,-0.7,-8.555833,42.876111
2021-01-07,0076,2.7,2.07,41.292778
2021-01-07,4061X,1,-3.046944,39.5975
2021-01-07,3110C,-8.4,-3.613611,41.006944
2021-01-07,9990X,-12,0.876944,42.700278
2021-01-07,8325X,4.5,-0.371944,39.184722
2021-01-07,2867,-5.1,-5.498333,40.959444
2021-01-07,B346X,4.6,3.019167,39.521667
2021-01-07,2235U,-8.9,-4.52,42.870556
2021-01-07,1221D,-10.6,-5.776389,42.978611
2021-01-07,2775X,-10.7,-6.279722,41.941389
2021-01-07,9981A,2.5,0.493333,40.820278
2021-01-07,3434X,-1.4,-5.5825,39.945833
2021-01-07,1041A,-0.2,-2.251111,43.302222
2021-01-07,4267X,2.2,-5.121111,38.498611
2021-01-07,9294E,-5.5,-1.475278,42.198611
2021-01-07,4386B,1.5,-6.016944,38.231667
2021-01-07,4452,2.5,-6.813889,38.883333
2021-01-07,3391,0,-4.590833,40.288611
2021-01-07,5390Y,1,-4.608889,38.333056
2021-01-07,9263X,-4.6,-1.5325,42.776111
2021-01-07,3111D,-9.7,-3.580278,41.135556
2021-01-07,3013,-5.9,-1.878889,40.841667
2021-01-07,8293X,4.2,-0.523611,39.001667
2021-01-07,5704B,2.6,-5.769722,37.926389
